id	title	name	publication_date	body	new_title
753280	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Elizabeth Warren	2019-06-26	Thank you. It's good to be here.	Democratic Presidential Debate - June 26 (Full) | NBC News
753281	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Elizabeth Warren	2019-06-26	So I think of it this way, who is this economy really working for? It's doing great for a thinner and thinner slice at the top. It's doing great for giant drug companies. This is not doing great for people are trying to get a prescription filled. It's doing great for people who want to invest in private prisons just not for the African-Americans and Latinx whose families are torn apart whose lives are destroyed and whose communities are ruined.	Democratic Presidential Debate - June 26 (Full) | NBC News
753282	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Elizabeth Warren	2019-06-26	It's doing great for giant oil companies that want to drill everywhere just not for the rest of us who are watching climate change bear down upon us. When you've got a government--when you've got an economy that does great for those with money and isn't doing great for everyone else that is corruption, pure and simple.	Democratic Presidential Debate - June 26 (Full) | NBC News
753283	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Elizabeth Warren	2019-06-26	We need to call it out. We need to attack it had on and we need to make structural change in our government, in our economy, and in our country.	Democratic Presidential Debate - June 26 (Full) | NBC News
753284	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Amy Klobuchar	2019-06-26	Well, first, the economy. We know that not everyone is sharing in this prosperity and Donald Trump just sits in the White House and gloats about what is going on when you have so many people that are having trouble affording college and having trouble affording their premiums. So I do get concerned about paying for college for rich kids; I do.	Democratic Presidential Debate - June 26 (Full) | NBC News
753285	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Amy Klobuchar	2019-06-26	But I think my plan is a good one and my plan would be to first of all make community college free and make sure that everyone else besides that top percentile gets help with their education. My own dad and my sister got their first agrees with community college. There's many paths to success as well as certifications.	Democratic Presidential Debate - June 26 (Full) | NBC News
753286	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Amy Klobuchar	2019-06-26	Secondly I would use programs. I would double them from $6000 to $12,000 a year and expand it to the number of families that get covered up to families that make up to $100,000. And then the third thing I would do is make it easier for students to pay off their student loans because I can tell you this, if billionaires--	Democratic Presidential Debate - June 26 (Full) | NBC News
753287	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Amy Klobuchar	2019-06-26	--can pay off their yachts, students should be able to pay off their student loans.	Democratic Presidential Debate - June 26 (Full) | NBC News
753288	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Beto O'Rourke	2019-06-26	This economy has got to work for everyone and right now we know that it isn't and it's going to take all of us coming together to make sure that it does. (UNTRANSLATED)	Democratic Presidential Debate - June 26 (Full) | NBC News
753289	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Beto O'Rourke	2019-06-26	Right now we have a system that favors those that can pay for access and outcomes, that is how you explain an economy that is rigged to corporations and to the very wealthiest. A $2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality.	Democratic Presidential Debate - June 26 (Full) | NBC News
